volume_id,volume_name,volume_title,book_id,book_name_1,book_url,book_name_2,book_title,chapter_count
ot,Old Testament,The Old Testament,gen,Genesis,https://www.lds.org/scriptures/ot/gen,Genesis,The First Book of Moses Called Genesis,50
ot,Old Testament,The Old Testament,ex,Exodus,https://www.lds.org/scriptures/ot/ex,Exodus,The Second Book of Moses Called Exodus,40
ot,Old Testament,The Old Testament,lev,Leviticus,https://www.lds.org/scriptures/ot/lev,Leviticus,The Third Book of Moses Called Leviticus,27
ot,Old Testament,The Old Testament,num,Numbers,https://www.lds.org/scriptures/ot/num,Numbers,The Fourth Book of Moses Called Numbers,36
ot,Old Testament,The Old Testament,deut,Deuteronomy,https://www.lds.org/scriptures/ot/deut,Deuteronomy,The Fifth Book of Moses Called Deuteronomy,34
ot,Old Testament,The Old Testament,josh,Joshua,https://www.lds.org/scriptures/ot/josh,Joshua,The Book of Joshua,24
ot,Old Testament,The Old Testament,judg,Judges,https://www.lds.org/scriptures/ot/judg,Judges,The Book of Judges,21
ot,Old Testament,The Old Testament,ruth,Ruth,https://www.lds.org/scriptures/ot/ruth,Ruth,The Book of Ruth,4
ot,Old Testament,The Old Testament,1-sam,1 Samuel,https://www.lds.org/scriptures/ot/1-sam,1 Samuel,The First Book of Samuel,31
ot,Old Testament,The Old Testament,2-sam,2 Samuel,https://www.lds.org/scriptures/ot/2-sam,2 Samuel,The Second Book of Samuel,24
ot,Old Testament,The Old Testament,1-kgs,1 Kings,https://www.lds.org/scriptures/ot/1-kgs,1 Kings,The First Book of the Kings,22
ot,Old Testament,The Old Testament,2-kgs,2 Kings,https://www.lds.org/scriptures/ot/2-kgs,2 Kings,The Second Book of the Kings,25
ot,Old Testament,The Old Testament,1-chr,1 Chronicles,https://www.lds.org/scriptures/ot/1-chr,1 Chronicles,The First Book of the Chronicles,29
ot,Old Testament,The Old Testament,2-chr,2 Chronicles,https://www.lds.org/scriptures/ot/2-chr,2 Chronicles,The Second Book of the Chronicles,36
ot,Old Testament,The Old Testament,ezra,Ezra,https://www.lds.org/scriptures/ot/ezra,Ezra,Ezra,10
ot,Old Testament,The Old Testament,neh,Nehemiah,https://www.lds.org/scriptures/ot/neh,Nehemiah,The Book of Nehemiah,13
ot,Old Testament,The Old Testament,esth,Esther,https://www.lds.org/scriptures/ot/esth,Esther,The Book of Esther,10
ot,Old Testament,The Old Testament,job,Job,https://www.lds.org/scriptures/ot/job,Job,The Book of Job,42
ot,Old Testament,The Old Testament,ps,Psalms,https://www.lds.org/scriptures/ot/ps,Psalms,The Book of Psalms,150
ot,Old Testament,The Old Testament,prov,Proverbs,https://www.lds.org/scriptures/ot/prov,Proverbs,The Proverbs,31
ot,Old Testament,The Old Testament,eccl,Ecclesiastes,https://www.lds.org/scriptures/ot/eccl,Ecclesiastes,"Ecclesiastes or, the Preacher",12
ot,Old Testament,The Old Testament,song,Song of Solomon,https://www.lds.org/scriptures/ot/song,Song of Solomon,The Song of Solomon,8
ot,Old Testament,The Old Testament,isa,Isaiah,https://www.lds.org/scriptures/ot/isa,Isaiah,The Book of the Prophet Isaiah,66
ot,Old Testament,The Old Testament,jer,Jeremiah,https://www.lds.org/scriptures/ot/jer,Jeremiah,The Book of the Prophet Jeremiah,52
ot,Old Testament,The Old Testament,lam,Lamentations,https://www.lds.org/scriptures/ot/lam,Lamentations,The Lamentations of Jeremiah,5
ot,Old Testament,The Old Testament,ezek,Ezekiel,https://www.lds.org/scriptures/ot/ezek,Ezekiel,The Book of the Prophet Ezekiel,48
ot,Old Testament,The Old Testament,dan,Daniel,https://www.lds.org/scriptures/ot/dan,Daniel,The Book of Daniel,12
ot,Old Testament,The Old Testament,hosea,Hosea,https://www.lds.org/scriptures/ot/hosea,Hosea,Hosea,14
